,Name,Park,City,State,Country,Status,Status Date,Material,Seating,Thrill,Make,Model,Length,Height,Drop,Speed,Inversions,VerticalAngle,Duration,G-Force
1,Jet Star 2,Lagoon,Farmington,Utah,United States,Operating,1976-04-03,Steel,Sit Down,Thrill,Schwarzkopf,Jet Star,1919.3,44.3,,,0,,,
2,Jett Star,Lark Ranch,Loogootee,Indiana,United States,Operating,2020,Steel,Sit Down,Family,Wisdom Rides,,,9,,,0,,,
3,Joker,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,2016-05-28,Steel,Wing,Extreme,S&S Sansei Technologies,4D Free Spin,1019,120,54,38,0,,,
4,Joker,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,2016-05-30,Steel,Sit Down,Extreme,Rocky Mountain Construction,IBox Track,3200,100,,53,3,78,,
5,Joker,Six Flags Great America,Gurnee,Illinois,United States,Operating,2017-05-27,Steel,Wing,Extreme,S&S Sansei Technologies,4D Free Spin,1019,120,54,38,0,,,
6,Joker,Six Flags Over Texas,Arlington,Texas,United States,Operating,2017-05-20,Steel,Wing,Extreme,S&S Sansei Technologies,4D Free Spin,1019,120,54,38,0,,,
7,Joker,Six Flags New England,Agawam,Massachusetts,United States,Operating,2017-05-27,Steel,Wing,Extreme,S&S Sansei Technologies,4D Free Spin,1019,120,54,38,0,,,
8,Joker Funhouse Coaster,Six Flags Over Georgia,Austell,Georgia,United States,Operating,2004-08,Steel,Sit Down,Family,Chance Rides,Big Dipper,900,,,30,0,,,
9,Joker's Jinx,Six Flags America,Upper Marlboro,Maryland,United States,Operating,1999-05-08,Steel,Sit Down,Extreme,Premier Rides,LIM Coaster,2705,78.8,,60,4,,0:56,4.5
10,Journey to Atlantis,SeaWorld Orlando,Orlando,Florida,United States,Operating,1998,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Water Coaster,,,,,0,,,
11,Journey to Atlantis,SeaWorld San Diego,San Diego,California,United States,Operating,2004-05-29,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Water Coaster,,95,60,42,0,,5:00,3
12,Journey to Atlantis,SeaWorld San Antonio,San Antonio,Texas,United States,Operating,2007-05-11,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,SuperSplash,,100,,,0,,3:30,
13,Joust,Dutch Wonderland,Lancaster,Pennsylvania,United States,Operating,1998-05-23,Steel,Sit Down,Family,Chance Rides,Big Dipper,,16.1,,,0,,,
14,Judge Roy Scream,Six Flags Over Texas,Arlington,Texas,United States,Operating,1980-03-01,Wood,Sit Down,Thrill,,,2670,71,65,45,0,,1:30,
15,Kentucky Flyer,Kentucky Kingdom,Louisville,Kentucky,United States,Operating,2019-04-28,Wood,Sit Down,Family,Gravitykraft Corporation,,1288,47,44,35,0,52,,
16,Kentucky Rumbler,Beech Bend,Bowling Green,Kentucky,United States,Operating,2006-05-06,Wood,Sit Down,Thrill,Great Coasters International,Wooden Coasters,2827,96,80.2,47.3,0,,,
17,Kersplash,Edaville Family Theme Park,Carver,Massachusetts,United States,SBNO,2013,Steel,Sit Down,Thrill,E&F Miler Industries,Water Coaster,,,,,0,,,
18,Kiddie Coaster,Family Kingdom Amusement Park,Myrtle Beach,South Carolina,United States,Operating,1994,Steel,Sit Down,Family,D.P.V. Rides,Minicoaster Apple,,,,,0,,,
19,Kiddie Coaster,Lake Compounce,Bristol,Connecticut,United States,Operating,1997-06-27,Steel,Sit Down,Kiddie,Molina & Son's,,,,,,0,,,
20,Kiddie Coaster,Wild Waves Theme & Water Park,Federal Way,Washington,United States,Operating,1997,Steel,Sit Down,Family,Zamperla,Powered Coaster,,,,,0,,,
21,Kiddie Coaster,Lakeside Amusement Park,Denver,Colorado,United States,Operating,2001,Steel,Sit Down,Kiddie,Miler Manufacturing,,,,,,0,,,
22,Kiddie Coaster,Fun Spot America,Kissimmee,Florida,United States,Operating,2012-02-03,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,1:08,
23,Kiddie Coaster,Fun Spot America Atlanta,Fayetteville,Georgia,United States,Operating,2019,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
0,Kiddy Coaster,Playland Park,Rye,New York,United States,Operating,1928,Wood,Sit Down,Family,,,,,,,0,,,
1,Kiddy Hawk,Carowinds,Charlotte,North Carolina,United States,Operating,2003-03-22,Steel,Inverted,Family,Vekoma,Suspended Family Coaster,1122,48.6,,26,0,,1:30,2.2
2,Kingda Ka,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,2005-05-21,Steel,Sit Down,Extreme,Intamin Amusement Rides,Other,3118,456,418,128,0,90,0:28,
3,Kingdom Coaster,Dutch Wonderland,Lancaster,Pennsylvania,United States,Operating,1992,Wood,Sit Down,Thrill,"Custom Coasters International, Inc.",,2000,55,,40,0,,1:30,
4,Klondike Gold Rusher,Wild Waves Theme & Water Park,Federal Way,Washington,United States,Operating,2002,Steel,Sit Down,Thrill,Zamperla,Zig Zag Coaster,,40,,,0,,,
5,Kombo,Indianapolis Zoo,Indianapolis,Indiana,United States,Operating,2001-04-19,Steel,Sit Down,Family,Zierer,Tivoli,652.9,19.7,,19.9,0,,,
6,Kong,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,1998-05,Steel,Inverted,Extreme,Vekoma,SLC,2260.5,109.3,,49.7,5,,1:36,
7,Kozmo's Kurves,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,Operating,2009-08-01,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
8,Kraken,SeaWorld Orlando,Orlando,Florida,United States,Operating,2000-06-01,Steel,Sit Down,Extreme,Bolliger & Mabillard,Floorless Coaster,4177,149,144,65,7,,2:02,
9,Krazy Koaster,Silverwood Theme Park,Athol,Idaho,United States,Operating,2014,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,190,14,,,0,,,
10,Kumba,Busch Gardens Tampa,Tampa,Florida,United States,Operating,1993-04-20,Steel,Sit Down,Extreme,Bolliger & Mabillard,Sitting Coaster,3978,143,135,60,7,,2:54,3.8
11,Lady Bug,Carousel Gardens,New Orleans,Louisiana,United States,Operating,2015-02-28,Steel,Sit Down,Family,Zierer,Force,,30,,20,0,,,
12,Laff Trakk,Hersheypark,Hershey,Pennsylvania,United States,Operating,2015-05-23,Steel,Sit Down,Thrill,Maurer Rides GmbH,Spinning Coaster,1400,,,40,0,,,
13,Laser Gun Coaster,Rowdy Bear Ridge Adventure Park,Pigeon Forge,Tennessee,United States,Operating,2019-08-17,Steel,Suspended,Family,Wiegand,Mystical Hex,1300,,,,0,,,
14,La Vibora,Six Flags Over Texas,Arlington,Texas,United States,Operating,1986,Steel,Bobsled,Thrill,Intamin Amusement Rides,Swiss Bob,1490,60,,32,0,,1:30,
15,Leap The Dips,Lakemont Park,Altoona,Pennsylvania,United States,Operating,1902-06-02,Wood,Sit Down,Thrill,,,1452,41,9,,0,25,1:00,
16,Legend,Arnolds Park,Arnolds Park,Iowa,United States,Operating,1930-06-08,Wood,Sit Down,Thrill,"Outdoor Amusement Enterprise, Inc.",,,63,,,0,,,
17,Legend,Holiday World,Santa Claus,Indiana,United States,Operating,2000-05-06,Wood,Sit Down,Extreme,"Custom Coasters International, Inc.",,4042,99,113,59,0,,2:00,
18,Lightning Racer,Hersheypark,Hershey,Pennsylvania,United States,Operating,2000-05-13,Wood,Sit Down,Extreme,Great Coasters International,Wooden Coasters,3393,91.6,90,51.1,0,,2:20,3.6
19,Lightning Rod,Dollywood,Pigeon Forge,Tennessee,United States,Operating,2016-06-13,Steel,Sit Down,Extreme,Rocky Mountain Construction,Topper Track,3800,,165,73,0,73,,3.5
20,Lightning Run,Kentucky Kingdom,Louisville,Kentucky,United States,Operating,2014-05-24,Steel,Sit Down,Extreme,Chance Rides,Other,2500,,100,55,0,80,2:00,
21,Lil' Devil Coaster,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,2021,Steel,Sit Down,Family,Zamperla,Family Coaster,262.5,13,,,0,,0:40,
22,Lil' Dipper,Camden Park,Huntington,West Virginia,United States,Operating,1961,Wood,Sit Down,Family,National Amusement Device Company,Comet Jr.,,,,,0,,1:05,
23,Lil'Leaper,Lakemont Park,Altoona,Pennsylvania,United States,Operating,2019-05-25,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
0,Lil' Phantom,Kennywood,West Mifflin,Pennsylvania,United States,Operating,1996,Steel,Sit Down,Kiddie,Molina & Son's,Moli-Coaster (Low Park Model),,,,,0,,0:15,
1,Little Coaster,Arnolds Park,Arnolds Park,Iowa,United States,Operating,1999,Steel,Sit Down,Kiddie,Miler Manufacturing,,,,,,0,,,
2,Little Dipper,Conneaut Lake Park,Conneaut Lake,Pennsylvania,United States,Operating,1950,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
3,Little Dipper,Little Amerricka,Marshall,Wisconsin,United States,Operating,1993,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
4,Little Dipper,Frasier's Frontier,El Cajon,California,United States,SBNO,1997-04-30,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
5,Little Dipper,Memphis Kiddie Park,Cleveland,Ohio,United States,Operating,1952-05-16,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
6,Little Dipper,Quassy Amusement Park,Middlebury,Connecticut,United States,Operating,1952,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
7,Little Dipper,Chippewa Lake Park,Chippewa Lake,Ohio,United States,SBNO,1979,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
8,Little Dipper,Midway State Park,Bemus Point,New York,United States,Operating,1956,Steel,Sit Down,Family,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
9,Little Dipper,Castle Park,Riverside,California,United States,SBNO,2021,Steel,Sit Down,Kiddie,Miler Manufacturing,,,,,,0,,,
10,Little Dipper,Tuscora Park,New Philadelphia,Ohio,United States,Operating,1990,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
11,Little Dipper,Amusement Park Drive In,Laurel,Montana,United States,SBNO,2015,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
12,Little Dipper,Six Flags Great America,Gurnee,Illinois,United States,Operating,2010-05-27,Wood,Sit Down,Family,"Philadelphia Toboggan Coasters, Inc.",Junior Coaster,700,28,,,0,,0:50,
13,Little Dipper,Sluggers & Putters,Canal Fulton,Ohio,United States,Operating,2015-07-28,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
14,Little Dipper,Cedar Valley's Wild Frontier Fun Park,Comins,Michigan,United States,Operating,2017,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
15,Little Fire Ball,Kiddie Park,Bartlesville,Oklahoma,United States,Operating,1953,Steel,Sit Down,Family,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
16,Little Stingray,Bushkill Park,Easton,Pennsylvania,United States,Operating,2019-07,Steel,Sit Down,Kiddie,King,,,,,,0,,,
17,Little Titans,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,United States,Operating,2000,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
18,Loch Ness Monster,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operating,1978,Steel,Sit Down,Extreme,Arrow Dynamics,Custom Looping Coaster,3240,130,114.2,60,2,55,2:10,3.5
19,Loco Loco,Blue Bayou Dixie Landin',Baton Rouge,Louisiana,United States,Operating,2010-06,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,24,,,0,,,
20,Loco Motion,Steel Pier,Atlantic City,New Jersey,United States,Operating,2013,Steel,Sit Down,Family,SBF Visa Group,Double Coaster (MX605),,,,,0,,,
21,Log Roller Coaster,Yellowstone Bear World,Rexburg,Idaho,United States,Operating,2016-06-29,Steel,Sit Down,Family,SBF Visa Group,MX608/E Higher Model,190,14,,,0,,,
22,Looping Star,Jolly Roger at the Pier,Ocean City,Maryland,United States,Operating,1996,Steel,Sit Down,Extreme,Pinfari,Zyklon,1197.5,36.1,,,1,,,
23,Looping Star,Keansburg Amusement Park,Keansburg,New Jersey,United States,Operating,2015-07-05,Steel,Sit Down,Extreme,Pinfari,Zyklon,1197.5,36.1,,,1,,,
0,Loop Roller Coaster,CJ Barrymore's Family Entertainment Center,Clinton Township,Michigan,United States,Operating,2016-05-09,Steel,Sit Down,Extreme,Pinfari,Zyklon,1197.5,36.1,,,1,,,
1,Lost Coaster of Superstition Mountain,Indiana Beach,Monticello,Indiana,United States,Operating,2002-06-08,Wood,Sit Down,Thrill,"Custom Coasters International, Inc.",,1400,35,,20,0,,,
2,Lucy's Crabbie Cabbies,California's Great America,Santa Clara,California,United States,Operating,1999,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
3,Mad Mouse,Little Amerricka,Marshall,Wisconsin,United States,Operating,1993,Steel,Sit Down,Thrill,Allan Herschell Company,Wild Mouse,,,,,0,,,
4,Mad Mouse,Michigan's Adventure,Muskegon,Michigan,United States,Operating,1999,Steel,Sit Down,Thrill,Arrow Dynamics,Mad Mouse,1268,68,,,0,,1:30,
5,Mad Mouse,Valleyfair!,Shakopee,Minnesota,United States,Operating,1999-05-08,Steel,Sit Down,Thrill,Arrow Dynamics,Mad Mouse,1257,50,,30,0,,1:30,
6,Magic Flyer,Six Flags Magic Mountain,Valencia,California,United States,Operating,1971,Steel,Sit Down,Kiddie,Bradley and Kaye,Little Dipper,350,10,,10,0,,,
7,Magnum XL-200,Cedar Point,Sandusky,Ohio,United States,Operating,1989-05-06,Steel,Sit Down,Extreme,Arrow Dynamics,Hyper Coaster,5106,205,194.7,72,0,60,2:00,
8,Mako,SeaWorld Orlando,Orlando,Florida,United States,Operating,2016-06-10,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,4760,200,200,73,0,,,
9,Mamba,Worlds of Fun,Kansas City,Missouri,United States,Operating,1998-04-18,Steel,Sit Down,Extreme,"D.H. Morgan Manufacturing, Inc.",,5600,205,205,75,0,,3:00,3.5
10,Manta,SeaWorld Orlando,Orlando,Florida,United States,Operating,2009-05-22,Steel,Flying,Extreme,Bolliger & Mabillard,Flying Coaster,3359,140,113,56,4,,2:35,
11,Manta,SeaWorld San Diego,San Diego,California,United States,Operating,2012-05-26,Steel,Sit Down,Extreme,Mack Rides GmbH & Co KG,Launch Coaster,2800,30,54,43,0,,2:00,4
12,Matterhorn Bobsleds,Disneyland,Anaheim,California,United States,Operating,1959,Steel,Sit Down,Thrill,Arrow Dynamics,Special Coaster Systems,2037,80,,,0,,2:07,
13,Maverick,Cedar Point,Sandusky,Ohio,United States,Operating,2007-05-26,Steel,Sit Down,Extreme,Intamin Amusement Rides,LSM Launch Coaster,4450,105,100,70,2,95,2:30,
14,Max's Doggy Dog Coaster,SpeedZone,City of Industry,California,United States,Under Construction,2021,Steel,Sit Down,Family,SBF Visa Group,Family Coaster,,,,,0,,,
15,Maxx Force,Six Flags Great America,Gurnee,Illinois,United States,Operating,2019-07-04,Steel,Sit Down,Extreme,S&S Sansei Technologies,,1800,175,,78,4,,0:23,
16,Medusa,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,2000-03-18,Steel,Sit Down,Extreme,Bolliger & Mabillard,Floorless Coaster,3937,150,150,65,7,,3:15,4.5
17,Mega Zeph,Six Flags New Orleans,New Orleans,Louisiana,United States,SBNO,2005-08-22,Wood,Sit Down,Extreme,"Custom Coasters International, Inc.",,4000,110,,57,0,,,
18,Merlin's Mayhem,Dutch Wonderland,Lancaster,Pennsylvania,United States,Operating,2018-04-28,Steel,Inverted,Family,S&S Sansei Technologies,,1300,60,,,0,,,
19,Merlin's Revenge,Castle Park,Riverside,California,United States,Operating,2001-07-13,Steel,Sit Down,Family,Vekoma,Junior Coaster,679.1,27.9,,21.7,0,,0:44,
20,Meteor,Little Amerricka,Marshall,Wisconsin,United States,Operating,2007-08-08,Wood,Sit Down,Family,"Philadelphia Toboggan Coasters, Inc.",Junior Coaster,900,28,,,0,,0:50,
21,Millennium Force,Cedar Point,Sandusky,Ohio,United States,Operating,2000-05-13,Steel,Sit Down,Extreme,Intamin Amusement Rides,Other,6595,310,300,93,0,80,2:20,
22,Mind Eraser,Six Flags America,Upper Marlboro,Maryland,United States,Operating,1995-05-20,Steel,Inverted,Extreme,Vekoma,SLC,2260.5,109.3,,49.7,5,,1:36,
23,Mind Eraser,Elitch Gardens,Denver,Colorado,United States,Operating,1997-06-02,Steel,Inverted,Extreme,Vekoma,SLC,2260.5,109.3,,49.7,5,,1:36,
0,Mind Eraser,Six Flags Darien Lake,Darien Center,New York,United States,Operating,1997-05-17,Steel,Inverted,Extreme,Vekoma,SLC,2260.5,109.3,,49.7,5,,1:25,
1,Mine Blower,Fun Spot America,Kissimmee,Florida,United States,Operating,2017-06-23,Wood,Sit Down,Extreme,Gravitykraft Corporation,,2290,83,80.5,48.5,1,,,
2,Miner Coaster,Western Playland,Sunland Park,New Mexico,United States,Operating,2006,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
3,Miner Mike,Kids 'N Action,Brooklyn,New York,United States,Operating,1995,Steel,Sit Down,Kiddie,Wisdom Rides,Miner Mike,,,,,0,,,
4,Miner Mike,Haunted Trails,Burbank,Illinois,United States,Operating,1994,Steel,Sit Down,Kiddie,Wisdom Rides,Miner Mike,,,,,0,,,
5,Miner Mike,Knucklehead's Bowling & Family Entertainment,Wisconsin Dells,Wisconsin,United States,Operating,2007-03-31,Steel,Sit Down,Family,Wisdom Rides,,,,,,0,,,
6,Miner Mike,Sam's Fun City,Pensacola,Florida,United States,Operating,2000-09,Steel,Sit Down,Kiddie,Wisdom Rides,,,,,,0,,,
7,Miner Mike,Gatti's Pizza,Abilene,Texas,United States,Operating,2013,Steel,Sit Down,Kiddie,Wisdom Rides,Miner Mike,,,,,0,,,
8,Miner Mike,Harvest Tyme Pumpkin Patch,Lowell,Indiana,United States,Operating,2014-09-26,Steel,Sit Down,Kiddie,Wisdom Rides,Miner Mike,,,,,0,,,
9,Miner Mike,Playzone Toledo,Toledo,Ohio,United States,Operating,2019,Steel,Sit Down,Kiddie,Wisdom Rides,Miner Mike,,,,,0,,,
10,Miner Mike,Thomas County Fairgrounds,Colby,Kansas,United States,Operating,2019,Steel,Sit Down,Kiddie,Wisdom Rides,Miner Mike,,,,,0,,,
11,Mineshaft Coaster,Alpine Slide at Magic Mountain,Big Bear Lake,California,United States,Operating,2020-07-17,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,5280,24,,27,0,,,
12,Mine Train,Sonoma TrainTown Railroad,Sonoma,California,United States,Operating,2015-07-18,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
13,Mine-Twister,Remlinger Farms,Carnation,Washington,United States,Operating,2012-10-13,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
14,Mini Mine Train,Six Flags Over Texas,Arlington,Texas,United States,Operating,1969,Steel,Sit Down,Family,Arrow Dynamics,Mini Mine Train,910,20,,,0,,1:10,
15,Mini Mouse,Luna Park,Brooklyn,New York,United States,Operating,2021,Steel,Sit Down,Family,Zamperla,Other,,,,,0,,,
16,Minor Mike,Celebration Station,Clearwater,Florida,United States,Operating,2004,Steel,Sit Down,Kiddie,Wisdom Rides,Miner Mike,,,,,0,,,
17,Monster,Adventureland,Altoona,Iowa,United States,Operating,2016-06-04,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Infinity Coaster,2500,133,,65,5,101,,
18,Monster Mouse,Amusement Park Drive In,Laurel,Montana,United States,SBNO,2009,Steel,Sit Down,Thrill,Allan Herschell Company,Wild Mouse,,,,,0,,,
19,Montezooma's Revenge,Knott's Berry Farm,Buena Park,California,United States,Operating,1978-05-21,Steel,Sit Down,Extreme,Schwarzkopf,Shuttle Loop,800,148,,55,1,,0:36,
20,Montu,Busch Gardens Tampa,Tampa,Florida,United States,Operating,1996-05-16,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,3983,150,128,60,7,50,3:00,3.8
21,Moto Coaster,Six Flags Darien Lake,Darien Center,New York,United States,Operating,2008-05-03,Steel,Sit Down,Thrill,Zamperla,Moto Coaster,1194.2,42.7,,37.3,0,,,
22,Mountain Coaster,Jiminy Peak Mountain Resort,Hancock,Massachusetts,United States,Operating,2006,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2591.8,,,,0,,,
23,Mountain Coaster,Cranmore Mountain Adventure Park,North Conway,New Hampshire,United States,Operating,2010,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2395,,,,0,,,
0,Mountain Coaster,Park City Mountain Resort,Park City,Utah,United States,Operating,2006,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,3887.8,,,,0,,,
1,Mountain Coaster,Snowbird,Sandy,Utah,United States,Operating,2012,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2099.7,,,,0,,,
2,Mountain Coaster,Wisp Resort,McHenry,Maryland,United States,Operating,2007,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,3001.9,,,,0,,,
3,Mountain Coaster,Camelback Mountain Adventures,Tannersville,Pennsylvania,United States,Operating,2012,Steel,Sit Down,Thrill,Aquatic Development Group,,4500,,,,0,,,
4,Mountain Coaster,Gunstock Mountain Resort,Gilford,New Hampshire,United States,Operating,2016-08-13,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2657.5,,,,0,,,
5,Mouse Trap,Wonderland Amusement Park,Amarillo,Texas,United States,Operating,1975,Steel,Sit Down,Thrill,Pinfari,Zyklon,,,,,0,,,
6,Mr. Freeze Reverse Blast,Six Flags Over Texas,Arlington,Texas,United States,Operating,1998,Steel,Sit Down,Extreme,Premier Rides,LIM Shuttle Loop Coaster,1300,218,,70,1,90,,
7,Mr. Freeze Reverse Blast,Six Flags St. Louis,Eureka,Missouri,United States,Operating,1998-04,Steel,Sit Down,Extreme,Premier Rides,LIM Shuttle Loop Coaster,1300,218,,70,1,90,,
8,Muskrat Scrambler,Six Flags New Orleans,New Orleans,Louisiana,United States,SBNO,2005-08-22,Steel,Sit Down,Thrill,L&T Systems,Wild Mouse,1183.4,47.6,,25,0,,,
9,Mustang Mountain Coaster,Mustang Mountain Coaster,Estes Park,Colorado,United States,Operating,2021-05-21,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,3000,,,,0,,,
10,Myrtle Turtle,Pavilion Park,Myrtle Beach,South Carolina,United States,Operating,2014,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,190,14,,,0,,,
11,Mystery Mine,Dollywood,Pigeon Forge,Tennessee,United States,Operating,2007-04-13,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Euro-Fighter,1804.5,85.3,,43.5,2,95,2:30,
12,Mystic Timbers,Kings Island,Mason,Ohio,United States,Operating,2017-04-15,Wood,Sit Down,Extreme,Great Coasters International,Wooden Coasters,3265,109.2,,53,0,,,
13,New Mexico Rattler,Cliff's Amusement Park,Albuquerque,New Mexico,United States,Operating,2002-09-28,Wood,Sit Down,Thrill,"Custom Coasters International, Inc.",,2750,80,75,47,0,52,1:15,
14,New Revolution,Six Flags Magic Mountain,Valencia,California,United States,Operating,1976-05-08,Steel,Sit Down,Extreme,Schwarzkopf,,3457,113,,55,1,,2:12,4.9
15,New Texas Giant,Six Flags Over Texas,Arlington,Texas,United States,Operating,2011-04-22,Steel,Sit Down,Extreme,Rocky Mountain Construction,IBox Track,4200,153,147,65,0,79,,
16,Nickelodeon Slime Streak,Nickelodeon Universe Theme Park,East Rutherford,New Jersey,United States,Operating,2019-10-25,Steel,Sit Down,Family,Chance Rides,Big Dipper,1263,70,,37,0,,1:10,2.5
17,Nighthawk,Carowinds,Charlotte,North Carolina,United States,Operating,2004-03-20,Steel,Flying,Extreme,Vekoma,Flying Dutchman,2765.7,115,,51,5,,1:50,4.3
18,Ninja,Six Flags St. Louis,Eureka,Missouri,United States,Operating,1989-04,Steel,Sit Down,Extreme,Vekoma,MK-1200,2427.8,108.3,,54.7,4,,2:00,
19,Ninja,Six Flags Magic Mountain,Valencia,California,United States,Operating,1988-05-21,Steel,Suspended,Thrill,Arrow Dynamics,Suspended Coaster,2700,60,,55,0,,1:30,
20,Nitro,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,2001-04-07,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,5394,230,215,80,0,,2:20,
21,Nor'Easter Mountain Coaster,Attitash Mountain Resort,Bartlett,New Hampshire,United States,Operating,2010-11-24,Steel,Sit Down,Thrill,Aquatic Development Group,,4300,,,25,0,,,
22,Nor'easter Mountain Coaster,Greek Peak Mountain Resort,Cortland,New York,United States,Operating,2011,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2903.5,,,,0,,,
23,Nuclear Rush,Scene75 Entertainment Center,Dublin,Ohio,United States,Operating,2019-10-11,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,,,,,0,,,
0,Orient Express,Palace Playland,Old Orchard Beach,Maine,United States,SBNO,2020,Steel,Sit Down,Family,Wisdom Rides,,,,,,0,,,
1,Orient Express,Funworld Game Center,Nashua,New Hampshire,United States,Operating,2005,Steel,Sit Down,Kiddie,Wisdom Rides,,,,,,0,,,
2,Orient Express,Arzo Sports & Fun Park,Alpena,Michigan,United States,Operating,2015,Steel,Sit Down,Family,Wisdom Rides,Other,,,,,0,,,
3,Orient Express,Grady's Family Fun Park,Bloomington,Illinois,United States,Operating,2019,Steel,Sit Down,Family,Wisdom Rides,Other,,,,,0,,,
4,Orion,Kings Island,Mason,Ohio,United States,Operating,2020-07-02,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,5321,287,300,91,0,85,3:00,
5,Oscar's Wacky Taxi,Sesame Place,Langhorne,Pennsylvania,United States,Operating,2018-05-26,Wood,Sit Down,Family,Gravitykraft Corporation,,1205,43,39,34,0,,,
6,Outlaw,Adventureland,Altoona,Iowa,United States,Operating,1993-04-24,Wood,Sit Down,Thrill,"Custom Coasters International, Inc.",,2800,67,,48,0,,2:00,
7,Outlaw Mountain Coaster,Steamboat Resort,Steamboat Springs,Colorado,United States,Operating,2017-08,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,6281.1,40,,26.7,0,,0:00,
8,Outlaw Run,Silver Dollar City,Branson,Missouri,United States,Operating,2013-03-15,Wood,Sit Down,Extreme,Rocky Mountain Construction,Topper Track,2937,107,162,68,3,81,1:27,
9,Outpost Express,Wild Adventures,Valdosta,Georgia,United States,Operating,2000,Steel,Sit Down,Family,Vekoma,Junior Coaster,679.1,27.9,,21.7,0,,0:44,
10,Pacific Fruit Express,Happy Hollow Park and Zoo,San Jose,California,United States,Operating,2010-03-20,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
11,Palindrome,Cotaland,Austin,Texas,United States,Under Construction,2022,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Infinity Coaster,1230,95,,51,2,,,4.5
12,Pandemonium,Six Flags New England,Agawam,Massachusetts,United States,Operating,2005-04-16,Steel,Sit Down,Thrill,Gerstlauer Amusement Rides GmbH,Spinning Coaster,,42,,,0,,,
13,Pandemonium,Six Flags Fiesta Texas,San Antonio,Texas,United States,Operating,2007-03-10,Steel,Sit Down,Thrill,Gerstlauer Amusement Rides GmbH,Spinning Coaster,1351,48,27,31,0,,,
